INT	STRING
52	#cffffcc Chúc m×ng các hÕ, ð® tØ cüa các hÕ#W%s#cffffcc ðã thång lên#Y%d c¤p#cffffcc. %s#cffffccVà nh§n xét các hÕ là#Y%s#cffffcc, nên các hÕ ngoài vi®c nh§n ðßþc ph¥n thß·ng #Y%d%%#cffffcckinh nghi®m, còn thu ðßþc thêm#Y%d#cffffcc kinh nghi®m, xin hãy ðªn ÐÕi Lý ngß¶i bái sß#RNhiªp Chính#cffffcc sØ døng ði¬m thi®n ác tiªn hành ð±i ði¬m.
53	#cffffcc Phøng thiên th×a v§n, hoàng ðª chiªu viªt: #W#{_INFOUSR%s}#cffffcc ðã dÕy d² ð® tØ #{_INFOUSR%s}#cffffcc thång lên#Y%d c¤p#cffffcc, tri«u ðình ð£c bi®t thß·ng cho #Y%d#cffffcc kinh nghi®m, khâm thØ.
54	#cffffcc Giang h° ð°n r¢ng, #W#{_INFOUSR%s}#cffffcc do biªt cách dÕy d², ð° ð® #{_INFOUSR%s}#cffffcc ðã dß½ng danh l§p vÕn thång lên #Y%d c¤p#cffffcc, qu¥n hùng trên giang h° liên danh cùng t£ng#Y%d kinh nghi®m.
55	#{_INFOUSR%s}#cffffcc vì dÕy d² ð® tØ #{_INFOUSR%s}#cffffcc thång lên #Y%d c¤p#cffffcc không ngÕi gian kh±, qu¥n hùng trên giang h° liên danh cùng t£ng thêm #Y%d#cffffcc kinh nghi®m.
56	#cffffcc Phøng thiên th×a v§n, hoàng ðª chiªu viªt: #W#{_INFOUSR%s}#cffffcc ðã dÕy d² ð® tØ#{_INFOUSR%s}#cffffcc thång lên #Y%d c¤p#cffffcc, và dçn d¡t gia nh§p bang hµi, tri«u ðình ð£c bi®t thß·ng cho#Y%d#cffffcc kinh nghi®m, khâm thØ.
57	#cffffcc Giang h° ð°n r¢ng, #W#{_INFOUSR%s}#cffffcc do biªt cách dÕy d², ð° ð® #{_INFOUSR%s}#cffffcc ðã dß½ng danh thång ðªn #Y%d c¤p#cffffcc, và dçn d¡t gia nh§p bang hµi, qu¥n hùng trên giang h° liên danh cùng t£ng #Y%d kinh nghi®m.
58	#W#{_INFOUSR%s}#cffffcc vì dÕy d² ð® tØ #{_INFOUSR%s}#cffffcc thång lên #Y%d#cffffcc c¤p ð°ng th¶i dçn d¡t gia nh§p bang hµi, d¯c hªt tâm huyªt chÆng quän gió sß½ng, khiªn qu¥n hùng giang h° kính phøc khôn xiªt, nên ðã t£ng cho #Y%d#cffffcckinh nghi®m.
59	#cffffccTrong quan h® sß ð° ðµ häo hæu l¾n h½n 1000, thu ðßþc toàn bµ ph¥n thß·ng kinh nghi®m.
60	#cffffccDo trong quan h® sß ð° ðµ häo hæu không ðü 1000, nên ph¥n thß·ng kinh nghi®m là#Y%.2f%%. 
61	Trân thú cüa các hÕ ðã cao h½n ðÆng c¤p các hÕ %d c¤p nên không ðßþc nh§n thêm kinh nghi®m. 
62	Quäi c½ chung kªt giä
63	Xin th¤t l­, hi®n chï có quan h® bÕn hæu m¾i có th¬ ði ðªn kªt bái phu thê.
64	Xin th¤t l­, chï có quan h® phu thê m¾i ðßþc ly hôn.
65	Xin th¤t l­, hi®n chï có quan h® bÕn hæu m¾i ðßþc bái sß.
66	Xin th¤t l­, hi®n chï nh§n bÕn hæu làm ð° ð®.
67	Xin th¤t l­, chï thñc hi®n thao tác này v¾i sß phø.
68	Xin th¤t l­, chï thñc hi®n thao tác này v¾i ð° ð®.
69	Qu¥y tÕp hóa
70	Ti«n v¯n cüa ti®m th¤p h½n v¯n g¯c 50%, hãy nÕp thêm, nªu không ti®m buµc phäi ðóng cØa.
71	Th§t ðáng tiªc, ti®m ðã b¸ ðóng, hàng th×a b¸ chü nþ xiªt mang ði.
72	#{_TIME%d}: #Ybán #W[#R#{_ITEM%d}#W]X%d, ðÕt ðßþc #{_MONEY%d}
73	#{_TIME%d}: #Ybán #W[#R%s#W]X%d, ðÕt ðßþc #{_MONEY%d}
74	#{_TIME%d}: %s#Y nh§p hàng #W[#R#{_ITEM%d}#W]X%d ki®n.
75	#{_TIME%d}: %s#Y l¤y v« #W[#R#{_ITEM%d}#W]X%d ki®n.
76	#{_TIME%d}: %s#Y nh§p hàng #W[#R%s#W]X%d ki®n.
77	#{_TIME%d}: %s#Y l¤y v« #W[#R%s#W]X%d ki®n.
78	#{_TIME%d}: %s#Y lên giá #Wr°i [#R#{_ITEM%d}#W]X%d ki®n, giá tiêu chu¦n #r#{_MONEY%d}
79	#{_TIME%d}: %s#Y hÕ giá #Wr°i [#R#{_ITEM%d}#W]X%d ki®n, giá g¯c #r#{_MONEY%d}
80	#{_TIME%d}: %s#Y lên giá #Wr°i [#R%s#W]X%d ki®n, giá tiêu chu¦n #r#{_MONEY%d}
81	#{_TIME%d}: %s#Y hÕ giá#Wr°i[#R%s#W]X%d ki®n, giá g¯c #r #{_MONEY%d}
82	#{_TIME%d}: %s#Y khai trß½ng #W gian hàng thÑ %d.
83	#{_TIME%d}: %s#Y ðóng cØa #W gian hàng thÑ %d.
84	#{_TIME%d}: %s vào cØa hàng#Y nh§p ti«n v¯n#r #{_MONEY%d}
85	#{_TIME%d}: %s vào cØa#Y nh§p ti«n l¶i #r #{_MONEY%d}
86	Xin chào ðón các hÕ ðªn v¾i b±n ti®m
87	Tin tÑc cá nhân phi pháp.
88	V§t ph¦m này không nÕp lßu vào ngân hàng!
89	Ngân kh¯
90	V§t kiªn trúc phi pháp. 
91	V§t ph¦m phi pháp. 
92	Song phß½ng không ð°ng th¶i khai thông tuyªn lµ thß½ng nghi®p, không th¬ giao d¸ch ðßþc. 
93	TrÕng thái bäo hµ không th¬ tiªn hành thao tác này. 
94	Thao tác nhanh quá c¥n phäi ch¶ ðþi.
95	Không có ngân phiªu, không th¬ mua s¡m
96	Vàng bÕc ngân phiªu ðã ðÕt ngßÞng, không th¬ mua thêm
97	Không ðü bÕc, không th¬ mua tiªp!
98	Vàng bÕc ngân phiªu không ðü, không th¬ mua tiªp!
99	C¯ng hiªn cüa bang không ðü, không th¬ mua tiªp!
100	Tay näi ðã ð¥y, không th¬ mua ðßþc!
101	V§t ph¦m không t°n tÕi. 
102	Không có ngân phiªu, bán ra không ðßþc
103	Không có Bang Phái không ðßþc xin thành th¸. 
104	Ðã có thành th¸ không ðßþc xin. 
105	Ngân lßþng không ðü
106	Chï có Bang Chü có th¬ xin thành th¸. 
107	ÐÆng c¤p cüa các hÕ chßa h½n c¤p 20, không th¬ thay ð±i trÕng thái PK
108	M§t mã c¤p 2 sai
109	Do các hÕ sØ døng v§t ðeo ngoài, nên không th¬ dùng kÛ nång!
110	Các hÕ b¸ hÕn chª tñ do, %d phút sau s¨ h°i phøc!
111	Các hÕ b¸ c¤m trò chuy®n, th¶i gian %d phút.
112	#RMÑc trß·ng thành?%f
113	#RChßa tìm ðßþc Trân thú theo chï ð¸nh
114	Các hÕ không th¬ thü ðµng hüy bö hi®u quä này.
115	#YNgân lßþng cüa các hÕ ðã quá mÑc gi¾i hÕn, hãy tiêu b¾t ði. Lßu ý: không ðßþc #Rthoát khöi trò ch½i ho£c d¸ch ð±i ð¸a danh#Y, nªu không các hÕ s¨ b¸ m¤t ði s¯ ti«n vßþt gi¾i hÕn ðó
116	C¤p b§c không ðü, không th¬ xin Bang Phái. 
117	Ngân lßþng không ðü, không th¬ xin Bang Phái. 
118	Ðang thuµc trÕng thái ly hµi không th¬ m¶i.
119	Tên g÷i phi pháp, không th¬ xin Bang Phái. 
120	Miêu thu§t phi pháp, không th¬ Thân thïnh bang phái.
121	Miêu thu§t phi pháp, không th¬ thay ð±i.
122	Vån tñ phi pháp, không th¬ thay ð±i.
123	Tin tÑc tình bÕn phi pháp.
124	V§t ph¦m này ðã ðßþc ch÷n lña
125	Không th¬ ð£t vào b±n ti®m
126	V§t ph¦m ðã ghép lÕi
127	Các hÕ ðang sØ døng chß½ng trình ngoài, không th¬ m· ðßþc!
128	Các hÕ b¸ hÕn chª tñ do, không th¬ m· ðßþc, %d phút sau s¨ h°i phøc!
129	ÐÆng c¤p cüa trân thú là %d, các hÕ hi®n không th¬ mang theo.
130	%s nh§p hªt vào ti®m cüa các hÕ
131	%s ÐÕi chß·ng qu¥y
132	Miêu thu§t phi pháp.
133	Tên giang hàng phi pháp.
134	Trä l¶i chính xác, các hÕ ðÕt ðßþc #{_MONEY%d} báo ðáp!
135	Trä l¶i chính xác!
136	Tên trân thú phi pháp.
137	Không th¬ ðßa lên giá
138	#{_INFOUSR%s} mua #{_INFOMSG%s} X %d, t±ng cµng tiêu hao #{_MONEY%d}
139	#{_INFOUSR%s} mua Trân thú #{_INFOMSG%s}, t±ng cµng tiêu hao #{_MONEY%d}
140	Hãy hÕ tay näi ðã trang b¸ ð¬ trang b¸ thêm.
141	Hãy hÕ hòm ð° ðã trang b¸ ð¬ trang b¸ thêm.
142	Các hÕ ðã sØ døng chß½ng trình ngoài, không th¬ sØ døng v§t ph¦m!
143	Tay näi ðã ð¥y
144	#-08 %s Bang chü
145	Các hÕ ðã gØi ðªn %s bang l¶i thïnh c¥u, ch¶ bang hµi xØ lý.
146	%s bang chúng
147	Hoan nghênh các hÕ gia nh§p %s, chúng ta k« vai sát cánh cùng hành t¦u ch¯n giang h°.
148	0
149	ChÑc nång trò chuy®n cüa nhân v§t ðßþc khôi phøc, hãy tñ giác tuân thü lu§t ch½i, chúc các hÕ vui vë!
150	Nh§n Trân thú thành công, các hÕ có th¬ cho chúng tiªp tøc sinh sôi gi¯ng nòi.
151	Trân thú cüa các hÕ %s và %s Trân thú %s ðang nô ðùa vui vë.
152	Qua %d phút, các hÕ có th¬ mang trân thú ð¶i thÑ hai v« bên mình.
153	Các hÕ phäi cùng v¾i %s l§p hµi ðªn trß¾c m¾i ðßþc nh§n.
154	M¤t liên lÕc v¾i bÕn hæu trong hµi.
155	Không tìm ðßþc bÕn hæu trong hµi...
156	Ngân lßþng bang phái ðã ðªn mÑc gi¾i hÕn. 
157	Nµi dung ðã biªn ð±i, m¶i b§t lÕi t× ð¥u. 
158	MÑc c¯ng hiªn vßþt ngßÞng %d ði¬m, thao tác th¤t bÕi.
159	MÑc c¯ng hiªn dß¾i ngßÞng 0 ði¬m, thao tác th¤t bÕi.
160	Cài ð£t mÑc c¯ng hiªn bang hµi là %d ði¬m
161	Các hÕ ðßþc nh§n %d ði¬m mÑc c¯ng hiªn bang hµi.
162	Các hÕ tiêu hao %d ði¬m mÑc c¯ng hiªn bang hµi.
163	Hãy gia nh§p bang hµi trß¾c tiên.
164	Phó bang chü, c¥n xin ð¬ thành Bang chü, ði«u ki®n là Bang chü có 1 tu¥n ho£c 1 tu¥n tr· lên không online, m¾i có th¬ tiªn hành, hình nhß các hÕ không phäi Phó bang chü. 
165	Các hÕ ðã trong mµt Bang Hµi khác, không th¬ xin. 
166	Ðang m®t, không th¬ giao nhi®m vø.
167	Không tìm th¤y v¤n ð« này trong kho lßu træ, ð« ngh¸ ki¬m tra lÕi !
168	#{_INFOUSR%s} #Yðã xây dñng b±n thành #R#{CityBuildingName_T%d_L%d} #Ythêm gÕch thêm ngói ð¦y tiªn ðµ tång lên 1, còn lÕi %d l¥n nhi®m vø xây dñng næa là thành công.
169	#{_INFOUSR%s}#Y ðã nghiên cÑu b±n thành #R#{_ITEM%d} #Ykhông quän khó khån khiªn tiªn ðµ tång lên 1, còn lÕi %d l¥n nhi®m vø nghiên cÑu næa là thành công.
170	Giá tr¸ công nghi®p cüa bang phái tång ðªn %d
171	Giá tr¸ nông nghi®p cüa bang phái tång ðªn %d
172	Giá tr¸ thß½ng nghi®p cüa bang phái tång ðªn %d
173	Giá tr¸ qu¯c phòng cüa bang phái tång ðªn %d
174	Giá tr¸ khoa h÷c kÛ thu§t cüa bang phái tång ðªn %d
175	Giá tr¸ khuªch trß½ng cüa bang phái tång ðªn %d
176	Vàng cüa Bang phái gia tång ðªn #{_MONEY%d}
177	#YMÑc c¯ng hiªn cho bang phái cüa các hÕ hi®n là %d ði¬m.
178	Giá tr¸ công nghi®p cüa bang phái tång %d
179	Giá tr¸ nông nghi®p cüa bang phái tång %d
180	Giá tr¸ thß½ng nghi®p cüa bang phái tång %d
181	Giá tr¸ qu¯c phòng cüa bang phái tång %d
182	Giá tr¸ khoa h÷c kÛ thu§t cüa bang phái tång %d
183	Giá tr¸ khuªch trß½ng cüa bang phái tång %d
184	Vàng cüa Bang phái gia tång #{_MONEY%d}
185	Vàng cüa Bang phái giäm #{_MONEY%d}
186	#YMÑc c¯ng hiªn bang phái tång %d ði¬m.
187	#YMÑc c¯ng hiªn bang phái giäm %d ði¬m
188	Chúc m×ng các hÕ thành công trong vi®c l§p %s Bang. Có th¬ sØ døng phím ALT+O ho£c ki¬m tra và quän lý bang hµi qua giao di®n thuµc tính nhân v§t cüa Bang hµi. 
189	Bang hµi %s khß¾c t× ð« ngh¸ cüa các hÕ.
190	Các hÕ và %s ðúng là chí b¤t ð°ng, ðÕo b¤t hþp. Các hÕ ðã r¶i khöi %s.
191	Quy«n hÕn cüa các hÕ ðã thay ð±i, xin chúc m×ng các hÕ tr· thành bang chü cüa bang hµi.
192	Vì b±n bang Bang chü th¶i gian dài không online, phó bang chü #{_INFOUSR%s} nh§n nhi®m vø s¯ng chªt cüa bang hµi, ðß¶ng ðß¶ng chính chính là b±n bang bang chü!
193	Vì các hÕ có 1 tu¥n không online, phó bang chü %s vì sñ s¯ng còn cüa thành th¸ bang hµi ðã tr· thành b±n bang bang chü r°i. 
194	#R%s #Ythành cüa #R%s #YBang, thành công là do #R#{CityBuildingName_T0_L%d} #Yvà nâng c¤p là do #R#{CityBuildingName_T0_L%d}#Y, m÷i ngß¶i v¤t vä quá.
195	Thành cüa b±n bang  ðã nâng c¤p thành công lên là #{CityBuildingName_T0_L%d}, ðÆng c¤p là %d, mong m÷i ngß¶i tiªp tøc ph¤n ð¤u, cùng vun ð¡p mµt ngày mai tß½i sáng h½n.
196	Thành này hi®n ðang có sñ bäo v® th¤p, phí bäo v® l¥n này là #{_MONEY%d}
197	Thành này hi®n ðang có sñ bäo v® cao, phí bäo v® l¥n này là #{_MONEY%d}
198	#Y b±n thành thành công lên c¤p r°i #R#{CityBuildingName_T%d_L%d}, #Y xây dñng nhiêm vø ðã kªt thúc, m÷i ngß¶i v¤t vä r°i. 
199	#YB±n thành ðã nghiên cÑu thành công #R#{_ITEM%d}#Y. V¤t vä cho m÷i ngß¶i quá.
200	Chúc m×ng %s Bang ðã chiªm ðßþc lãnh ð¸a %s
201	Chúc m×ng %s Bang s· tÕi cüa bÕn dành ðßþc lãnh ð¸a %s ð¬ xây dñng thành ph¯ cüa Bang hµi.
202	%s thành cüa %s Bang do kinh doanh kém, nên b¸ ðóng cØa.
203	 Bang chúng 
204	 Bang chü 
205	 Phó bang chü 
206	 Nµi vø sÑ 
207	 Công vø sÑ 
208	 Ho¢ng hóa sÑ 
209	 Thß½ng nhân 
210	 Tinh anh 
211	Do trong 7 ngày lßþng thành viên bang hµi lên mÕng không ðü 5 ngß¶i, bang hµi ðã b¸ xóa tên khöi giang h°, nªu mu¯n tiªp tøc l§p bang hµi, có th¬ ðªn PhÕm Thu¥n Nhân · LÕc Dß½ng (140, 95) ð¬ tiªn hành.
212	Bang hµi cüa các hÕ ðã b¸ xóa tên trong giang h°.
213	Hôm nay th¶i tiªt r¤t tuy®t !
214	Trân thú cüa các hÕ ðã mãn nguy®t khai hoa, khoäng sau %d phút s¨ m© tròn con vuông. 
215	Trân thú cüa các hÕ ðã sinh sän thành công, sau khi sinh sän thành công trong vòng #Y%d gi¶#W ðªn#GTô Châu (87, 143) #cff99ccVân Phi Phi#W nh§n trân thú Bäo Bäo, nªu không trân thú s¨ b¸ h® th¯ng thu h°i. khi nh§n xin hãy cùng#B%s#Wt± ðµi r°i hãy ðªn nh§n. #R %d-%d-%d %d:%.2d
216	Do các hÕ không ðªn k¸p th¶i, Trân thú cüa các hÕ ðã mãn nguy®t khai hoa. TÕi hÕ xin lãnh nuôi. Kính báo. 
217	Mông Di®n ÐÕi ÐÕo
218	Chú ý: Bang phái%s phát l¶i tuyên chiªn v¾i bang cüa các hÕ vào lúc #{_TIME%d}, trong vòng 2 gi¶ các hÕ s¨ · vào trÕng thái Ñng chiªn, giªt chªt thành viên bang phái ð¯i phß½ng s¨ không tång ði¬m sát khí, nhßng sau khi chªt s¨ b¸ tr×ng phÕt.
219	Bang hµi %s ðã chü ðµng Ñng chiªn v¾i sñ tuyên chiªn cüa bang ta, th§t là không biªt tñ lßþng sÑc, các anh hùng hào ki®t hãy chu¦n b¸ hôm nay s¨ là ngày l§p uy danh cho bang ta!
220	Bang hµi ta nguy nga to l¾n, v§y mà hôm nay có ngß¶i ðªn xâm phÕm, anh em nghe l®nh, ta s¨ Ñng chiªn v¾i bang hµi%s, cúc cung t§n tøy, dî ch¤n bang uy! 
221	Phong vân tª hµi, long tranh h± ð¤u! Bang hµi %s hi®u l®nh cùng bang hµi %s tuyên chiªn, ai s¨ là bá chü trong tr§n chiªn ngày hôm nay, chúng ta hãy cûng ch¶ ðþi! 
222	Tùng, tùng, tùng! Tiªng tr¯ng thu binh! Các v¸ bang chúng xin hãy tÕm th¶i ng×ng chiªn, B±n bang hôm nay cùng %sbang hµi chiªn ð¤u k¸ch li®t,gi¶ nhân mã ðã m®t, 2 bên quyªt ð¸nh v« cüng c¯ binh mã, ngày sau ðánh tiªp! 
223	%s #cff0000Xin chú ý! Bang phái cüa các hÕ ðang trong trang thái tuyên chiªn, ¤n vào bang phái tuyên chiªn trong giao di®n bang phái s¨ có th¬ xem chi tiªt thông tin.
224	@*;SrvMsg;GLD:Chü lñc cüa b±n bang #{_INFOUSR%s} b²ng nhiên b¸ #{_INFOUSR%s} sát hÕi, th§t là khiªn ngß¶i ta n±i gi§n!
225	@*;SrvMsg;GLD:Chü lñc cüa b±n bang #{_INFOUSR%s} b²ng nhiên b¸ #{_INFOUSR%s} ngß¶i cüa bang hµi #G[%s] #Wsát hÕi, th§t là khiªn ngß¶i ta n±i gi§n!
226	#cff0000Thông ði®p bang hµi: #c6699ff%s
227	Ngß½i vçn chßa ðßþc kªt bái, không th¬ lãnh xßng danh kªt bái
228	Ngß½i ðã t×ng lãnh danh xßng kªt bái, không th¬ sØa danh xßng kªt bái
229	#{_TIME%d}: % mua v§t li®u #R#{_ITEM%d}#W]X%d v¾i s¯ ti«n #{_MONEY%d}
230	Thanh công cø
231	#RChào m×ng bÕn ðã mua lÕi v§t li®u #{_INFOMSG%s} Hãy ðªn LÕc Dß½ng Thß½ng Hµi [232,155]ð¬ ki¬m tra
232	Xin nâng tâm pháp t¤t cä các quy¬n lên 90
233	Xin nâng tâm pháp t¤t cä các quy¬n lên 100
234	Xin nâng tâm pháp t¤t cä các quy¬n lên 110
235	Xin nâng tâm pháp t¤t cä các quy¬n lên 120
236	Xin nâng tâm pháp t¤t cä các quy¬n lên 130
237	#{safeboxmsg1}
238	Chú ý#r bäo hi¬m bäo sßong s¨ m· sau %d ngày #{safeboxmsg2}
239	Chú ý#r bäo hi¬m bäo sß½ng s¨ m· sau %d gi¶ %d phút #{safeboxmsg3}
240	#{_INFOUSR%s} ðang thñc hi®n nhi®m vø Thß½ng Nhân, b¸ ngß¶i cüa #G[%s]#W là #{_INFOUSR%s} giªt chªt, cß¾p hªt ngân lßþng, th§t là khó ch¸u !
241	#{_INFOUSR%s} ðang thñc hi®n nhi®m vø Thß½ng Nhân b¸ #{_INFOUSR%s} cß¾p cüa r°i giªt ngß¶i. Th§t khiªn ngß¶i ta n²i gi§n !
242	Các hÕ là mµt phiªu rút thåm trúng thß½ng, không th¬ trao ð±i
243	Tên Liên Minh ðã t°n tÕi, thao tác th¤t bÕi, ngân lßþng cüa các hÕ ðßþc hoàn trä lÕi
244	ÐÆng c¤p nhö h½n %d, không th¬ chuy¬n ð±i
245	Thay ð±I v¸ trí thành công
246	Thay ð±I th¤t bÕi, c¥n 24 gi¶ t× l¥n thay ð±I trß¾c
247	Tên công vi®c b¤t hþp pháp
248	Quan viên
249	Tân nhân
250	Quan nµi h¥u
251	Ðình h¥u
252	Hß½ng h¥u
253	Huy®n h¥u
254	Qu§n h¥u
255	Huy®n công
256	Qu§n công
257	Qu¯c công
258	Qu§n vß½ng
259	Thân vß½ng
260	Lînh chÑc v¸ danh xßng thành công
261	Không nh§n ðßþc danh xßng
262	Ð±i danh xßng thành công, vui lòng mang Nâng kim danh thiªp ðªn LÕc Dß½ng(200,103) ð¬ nh§n danh hi®u m¾i
263	Ð±i danh xßng thành công, vui lòng mang Nâng kim danh thiªp ðªn #YLÕc Dß½ng(200,103) #GChß½ng Ðôn #R ð¬ nh§n danh hi®u m¾i
264	#YNâng c¤p thành công Bang Hµi#R#{CityBuildingName_T%d_L%d},#Ynhi®m vø xây dñng kªt thúc, chúng ta ðã thành công r°i!
265	Do các hÕ ðã b¸ tr÷ng thß¶ng #{_ITEM%d} ðã b¸ ðánh m¤t
266	Do các hÕ ðã b¸ tr÷ng thß¶ng #{_ITEM%d} ðã giäm s¯ l¥n sØa chæa xu¯ng mÑc 0
267	Do các hÕ ðã b¸ tr÷ng thß¶ng #{_ITEM%d} khoá ðã b¸ ðánh m¤t
268	Do các hÕ ðã b¸ tr÷ng thß¶ng #{_ITEM%d} khoá ðã b¸ ðánh m¤t, s¯ l¥n sØa chæa giäm 1 ði¬m
269	Do các hÕ ðã b¸ tr÷ng thß¶ng #{_ITEM%d} ðã b¸ ðánh m¤t
270	Do các hÕ ðã b¸ tr÷ng thß¶ng r¤t n£ng #{_ITEM%d} ðã b¸ ðánh m¤t
271	Do các hÕ ðã b¸ tr÷ng thß¶ng r¤t n£ng #{_ITEM%d} khoá ðã b¸ ðánh m¤t
272	Do các hÕ ðã b¸ tr÷ng thß¶ng r¤t n£ng #{_ITEM%d} ðã b¸ ðánh m¤t
273	Tên thành th¸ b¤t hþp pháp
274	#I Giang h° phong vân ðµt kh·i, tân kiªn bang hµi %s #I tÕi nh¤t ðÕi hào ki®t %s #I lãnh hÕ tÕi vû lâm trung kÏ tích bàn qu§t kh·i
275	Danh hi®u cüa các hÕ #Y%s#W trong th¶i gian sØ døng, h® th¯ng ðã ðßþc phøc h°i
276	Các hÕ b¸ %s ðánh bÕi
277	Xin chúc m×ng, thành th¸ % cüa bang % ðã xác l§p thành công. Các hÕ có th¬ thiªt l§p xây dñng, nghiên cÑu, buôn bán thành th¸
278	Các hÕ không có quy«n thay ð±i
279	Søa ð±i th¤t bÕi, dæ li®u ðã hªt hÕn
280	Ð±i thành công
281	NhÕn nhi®m vø phát tri¬n
282	Giäm do công vi®c
283	Không th¬ ði«u chïnh cho nhi®m vø này
284	NgoÕch ngoÕi hoÕch bang c¯ng
285	NgoÕch ngoÕi hoÕch ð¡c kim ti«n
286	Tùng tß·ng l® trung kh¤u tr× bang c¯ng
287	Tr× giäi thß·ng
288	Chï ðßþc quän lý công vi®c 1 l¥n trong 24 gi¶
289	Khai tr× bang hµi
290	Không phäi là thành viên cüa Liên Minh
291	Trøc xu¤t khöi liên minh thành công
