INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
50102008	5	1	2	8	Gem1_2_6	1	Thu¥n t¸nh løc tinh thÕch (c¤p 1)	"Thu¥n T¸nh Løc Tinh ThÕch, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch Trí Tu®#r#cff9900 bäo thÕch ðã ðiêu kh¡c qua không th¬ ðiêu kh¡c lÕi.#r#Wdùng 3 bäo thÕch loÕi này và 1 #GBäo ThÕch Dung Luy®n Phù#W, có th¬ luy®n thành 1 Bäo ThÕch th¡ng lþi cùng c¤p.#rÐªn #GThành Th¸ Bang Hµi#W làm #Gnhi®m vø Phát tri¬n#W, #Gnhi®m vø Th¸ T§p#W, #Gnhi®m vø Công trình#W, có th¬ nh§n ðßþc #GBäo ThÕch Dung Luy®n Phù#W."	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Trí Tu®	17	2004	1
50103001	5	1	3	1	Gem1_1_2	1	TØ Ng÷c (c¤p 1)	"Bäo ThÕch màu tím, có th¬ khäm nÕm vào trang b¸ mang tính t¤n công(vû khí, Hµ Uy¬n, Nhçn, Hµ Phù, HÕng Liên, Ám Khí, Võ H°n, Long Vån) sau khi dùng không th¬ khäm nÕm Bäo ThÕch cùng loÕi. #r#GHuy«n Chinh Bäo ThÕch"	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Huy«n Vi	7	2004	1
50104002	5	1	4	2	Gem1_1_8	1	Biªn thÕch (c¤p 1)	"Bäo thÕch có th¬ biªn s¡c, dß¾i ánh m£t tr¶i có màu xanh lá, dß¾i ánh ðèn có màu ðö, có th¬ khäm lên trang b¸ có tính t¤n công (Vû khí, Hµ Uy¬n, Gi¾i chï, Hµ phù, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GHuy­n minh bäo thÕch"	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Äo Minh	8	2004	1
50111001	5	1	11	1	Gem1_1_9	1	ThÕch Lñu ThÕch (c¤p 1)	"Do r¤t gi¯ng hÕt lñu chín nên có tên ðó, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo thÕch sinh m®nh"	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Sinh M®nh	7	2004	1
50111002	5	1	11	2	Gem1_1_12	1	Tiêm Tinh ThÕch (c¤p 1)	"Bäo thÕch ða s¡c tuy®t ð©p, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo thÕch sinh m®nh"	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch Sinh M®nh	11	2004	1
50112001	5	1	12	1	Gem1_1_11	1	Hoàng Ng÷c (c¤p 1)	"Bäo thÕch màu vàng, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch M¸ Lñc#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1Bäo ThÕch Ðiêu Kh¡c Phù c¤p 1#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n."	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch M¸ Lñc	12	2004	1
50112002	5	1	12	2	Gem1_1_10	1	HÕo thÕch (c¤p 1)	"Bäo thÕch sáng l¤p lánh, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch M¸ Lñc#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1Bäo ThÕch Ðiêu Kh¡c Phù c¤p 1#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n."	100000	1000	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch M¸ Lñc	2	2004	1
50112003	5	1	12	3	Gem1_1_13	1	Nguy®t Quang ThÕch (c¤p 1)	"Nguy®t Quang Bäo ThÕch có màu xanh lam nhÕt, mông lung nhß ánh sáng m£t trång, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch M¸ Lñc#W#rCó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1Bäo ThÕch Ðiêu Kh¡c Phù c¤p 1#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n."	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch M¸ Lñc	4	2004	1
50112004	5	1	12	4	Gem1_2_1	1	Bích tÖ (c¤p 1)	"Bäo thÕch ða s¡c tuy®t ð©p, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch M¸ Lñc#W#rcó th¬ ðªn #GLÕc Dß½ng (280, 322)#RCông Tßþng Bäo ThÕch Bành Hoài Ng÷c#Who£c#GLâu Lan (279, 198)#RCông Tßþng Bäo ThÕch Kh¡c Lý Mµc#W sØ døng #G1Bäo ThÕch Ðiêu Kh¡c Phù c¤p 1#Wtång thuµc tính bäo thÕch.#r#cff9900bäo thÕch này chï có th¬ ðiêu kh¡c 1 l¥n."	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch M¸ Lñc	3	2004	1
50112005	5	1	12	5	Gem1_2_10	1	Thu¥n t¸nh hoàng ng÷c (c¤p 1)	"Thu¥n T¸nh Hoàng Ng÷c, có th¬ khäm lên trang b¸ có tính phòng thü (Y phøc, Hµ Thü, Mû, Hµ Khiên, Hài, Yêu Ð¾i, HÕng liên, Ám Khí, Võ H°n, Long Vån), sau khi sØ døng có th¬ khäm bäo thÕch cùng loÕi l¥n næa.#r#GBäo ThÕch M¸ Lñc#r#cff9900 bäo thÕch ðã ðiêu kh¡c qua không th¬ ðiêu kh¡c lÕi."	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF0B	Bäo ThÕch M¸ Lñc	16	2004	1
